"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Burundi","BDI","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9","22.02","","20.78","15.83","13.54","12.79","10.86","10.41","10.26","11.2","9.99","10.1","10.42","10.43","","11.24","11.78","11.78","11.29","12.63","","",
"Belgique","BEL","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Bénin","BEN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.27","14.25","14.49","14.5","14.49","13.52","12.83","12.83","12.83","12.83","13.09","13.09","13.1","12.96","10.91","10.58","13.63","13.42","11.67","11.67","11.32","11.3","","",
"Burkina Faso","BFA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","13.39","13.35","13.56","13.56","13.45","12.52","12.38","12.38","12.38","12.29","12.32","12.33","12.33","12.25","10.43","10.88","12.41","12.17","11.41","11","11.33","11.44","","",
"Bangladesh","BGD","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.36","","","","","84.9","","","","27.52","22.31","22.23","20.87","21.01","19.56","18.26","15.37","15.21","14.27","13.75","14.05","13.88","13.8","13.53","12.86","","11.97","12.96","","","12.19","12.53","12.57","12.89","","",
"Bulgarie","BGR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.64","7.37","12.57","8.41","10.18","10.29","10.49","10.66","4.08","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","","2.24","1.95","","",
"Bahreïn","BHR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.47","8.45","8.42","5.48","5.41","5.41","4.53","4.49","4.17","4.12","4.34","5.22","4.27","4.27","4.06","3.75","3.59","3.6","4.08","3.36","3.68","3.59","3.6","3.65","","",
"Bahamas","BHS","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.91","","","28.99","","","","28.51","","","","33.36","33.17","","30.43","30.36","28.08","26.78","","23.66","","","","26.31","","",
"Bosnie-Herzégovine","BIH","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.26","","","","","8.37","7.35","7.04","4.19","3.76","3.37","3.15","2.99","3.1","2.49","2.6","2.88","2.95","5.32","2.95","3.16","3.39","","",
"Bélarus","BLR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.99","12.81","","","10.63","10.52","11.49","","","","","","9.26","9.25","7.52","7.55","7.5","7.45","6.73","6.02","5.04","4.92","5.14","7.93","5.15","5.65","","","",
"Belize","BLZ","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.72","","","19.37","","12.75","12.99","12.85","","","11.78","11.6","11.73","12.54","12.57","11.64","11.23","11.49","11.49","11.4","10.97","11.09","10.87","10.88","11.76","11.87","12.02","","",
"Bermudes","BMU","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.34","19.16","19.15","18.92","18.92","18.4","18.32","18.15","18.7","18.45","19.9","24.13","39.96","22.26","22.24","22.29","","",
"Bolivie","BOL","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.73","9.96","9.67","9.61","9.61","9.6","9.51","9.23","9.27","9.87","9.08","7.76","7.19","6.48","6.21","6.22","7.5","9.76","9.09","9.29","9.93","10.04","10.05","10.05","10.33","9.95","9.95","9.95","9.83","9.83","","",
"Brésil","BRA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.92","33.5","27.53","23.45","15.73","14.46","13.23","14.8","14.42","17.15","15.89","16.7","15","14.73","14.39","13.18","12.29","12.1","12.15","13.08","13.32","13.34","13.47","13.75","14.81","13.74","13.66","13.56","13.41","13.46","13.43","13.55","13.2","13.29","","",
"Barbade","BRB","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.21","","","21.21","21.23","16.3","16.22","16.43","15.93","","15","15.13","","","13.81","13.78","12.04","12.55","","","","","","","10.18","9.53","11.87","","",
"Brunéi Darussalam","BRN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.94","","","","4.04","4.03","4.01","3.79","3.66","3.6","3.24","3.14","3.15","3.26","3.31","3.33","3.05","2.69","3.81","2.22","","","1.2","","1.21","0.15","0.16","0.15","0.15","0.12","0.18","","",
"Bhoutan","BTN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.49","","","","","","17.71","","22.16","22.15","","11.1","","","","","","","","12.18","","","","8.13","7.63","4.06","6.77","","",
"Botswana","BWA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.15","7.94","","7.2","7.34","7.32","7.27","7.24","7.04","7.77","7.31","7.01","4.59","7.03","7.61","8.34","4.07","3.21","8.19","7.69","7.79","8.25","","",
"République centrafricaine","CAF","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.24","","17.47","","","","18.93","18.94","24.52","24.52","22.16","24.53","17.43","17.39","17.39","17.39","16.96","18.52","15.97","","15.99","15.99","15.99","","","","","19.34","","",
"Canada","CAN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.66","","","","8.92","","9.28","7.82","6.74","5.16","5.05","4.72","5.17","4.82","6.38","4.28","4.29","4.16","4.14","4.14","4.08","3.43","3.37","3.23","3.07","3.06","3.14","2.95","1.99","1.99","2.1","1.87","2.06","1.83","","",
"Europe centrale et les pays baltes","CEB","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suisse","CHE","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.06","","","6.72","","11.92","5.94","4.93","4.53","4.33","4.43","5.02","4.52","5.1","4.15","4.72","5.88","3.83","3.5","3.48","3.07","3.8","4.53","3.68","3.71","3.67","3.93","4.8","4.67","5.41","3.96","4.13","3.16","","",
"Îles Anglo-Normandes","CHI","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.99","10.99","10.99","10.67","10.99","10.99","10.99","9.99","9","8","6.99","5.9","4.88","4.86","2.27","2.99","2.8","2.77","2.75","2.71","2.71","5.99","","1.17","5.99","1.04","1.05","1.04","1.03","1.07","1.03","","",
"Chine","CHN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.71","37.1","33.32","","22.02","16.66","17.08","16.34","16.4","15.39","12.15","10.69","9.81","9.24","8.89","8.93","8.7","8.09","8.09","8.13","","","7.74","7.82","7.88","8.46","7.56","5.39","5.32","5.31","5.36","","",
"Côte d'Ivoire","CIV","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.88","","","4.81","","","","","13.42","13.59","13.59","13.62","13.64","13.45","13.22","13.22","13.13","13.02","12.94","12.88","12.88","12.91","12.55","12.19","12.84","12.51","12.13","12.13","12.13","12.72","","",
"Cameroun","CMR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.45","18.1","","","","","","18.65","18.52","19.19","19.19","19.16","19.21","18.78","18.72","18.95","18.72","18.87","18.88","18.75","18.91","","","","","18.56","","","18.85","","",
"Congo, République démocratique du","COD","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.14","","","13.05","12.94","12.92","12.9","11.87","","","","11.65","","","","","12.02","11.57","","","","",
"Congo, République du","COG","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.49","","","17.41","","","","19.64","19.62","19.89","19.89","19.97","19.89","18.24","18.2","18.2","18.2","18.2","","18.51","18.44","12.91","","","","","","","19.2","","",
"Colombie","COL","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.98","12.02","","12.48","13.81","12.24","12.36","12.39","12.46","12.76","12.79","12.8","12.75","11.74","11.91","11.23","10.8","10.78","10.69","11.25","6.79","5.52","5.66","5.15","5","5.04","4.39","3.2","2.85","2.52","3.19","3.55","","",
"Comores","COM","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.88","","9.07","9.07","7.34","11.85","9.9","12","","10.8","12","12.47","12.17","12.49","","","",
"Cabo Verde","CPV","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.42","15.26","15.27","15.27","15.48","14.87","15.02","14.78","15.13","","14.82","","","","14.51","13.71","13.59","14.31","","",
"Costa Rica","CRI","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7","11.67","8.08","6.41","5.75","5.02","6.04","7.03","6.18","6.34","6.98","6.14","6.04","5.9","4.54","4.53","4.54","4.4","4.34","4.19","","3.81","","3.47","3.22","3.05","2.77","2.63","","",
"Petits états des Caraïbes","CSS","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.75","","","12.03","11.96","12.03","11.91","11.82","12.09","11.9","12.13","11.33","11.12","11.11","11.13","11.04","10.7","10.58","10.63","10.65","10.27","","9.85","10.17","9.95","","10.52","10.6","10.44","10.6","","",
"Curacao","CUW","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Caïmans","CYM","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.03","","","","","22.79","","","",
"Chypre","CYP","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","10.7","6.73","6.48","3.92","5.84","8.45","","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"République tchèque","CZE","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.36","6.83","5.71","3.67","5.18","5.13","5.07","5.06","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Allemagne","DEU","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Djibouti","DJI","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.43","37.76","","","30.18","","","27.18","28.45","","","18.79","","19.27","19.27","","18.92","","","","","","","","","","",
"Dominique","DMA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.14","17.13","17.17","18.37","16.52","14.41","14.78","14.85","","","12.26","11.9","","","13.25","10.22","10.76","11.2","","13.87","10.76","10.43","","","10.36","","","","",
"Danemark","DNK","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"République dominicaine","DOM","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.23","15.73","10.23","10.23","20.21","10.31","10.77","10.84","10.8","10.33","9.61","7.68","9.01","","7.9","9.09","9.28","9.15","","7.93","7.49","6.32","6.33","","6.06","5.53","4.48","","",
"Algérie","DZA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.44","","","","24.73","24.03","","","22.07","19.01","18.36","","16.33","16.03","16.27","16.18","14.23","","","","","12.24","12.26","12.24","12.32","12.47","12.49","12.52","12.83","11.2","","",
"Asie de l’Est et Pacifique (hors revenu élevé)","EAP","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"de dividende précoce démographique","EAR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asie de l’Est et Pacifique","EAS","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe et Asie centrale (hors revenu élevé)","ECA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe et Asie centrale","ECS","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Équateur","ECU","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.29","11.91","12.48","11.72","11.45","11.89","13.62","11.71","12.03","12.02","11.85","11.6","11.82","9.82","10.03","9.02","7.99","9.15","7.44","7.27","","6.95","10.5","10.97","9.42","9.48","9.8","8.88","7.7","7.82","","",
"Égypte, République arabe d’","EGY","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.53","","","19.68","25.08","25.09","25.1","40.91","23.41","17.53","14.23","16.92","14.63","12.5","12.19","10.99","10.33","9.8","9.27","7.85","7.52","8.08","10.14","9.57","14.43","","","","","",
"Zone euro","EMU","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Érythrée","ERI","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","","","","9.56","","","","","","","","","","","","","","","","","","",
"Espagne","ESP","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Estonie","EST","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.01","0.01","0","0","1.07","1.02","0.95","0.94","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Éthiopie","ETH","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.41","","","","","","19.51","19.65","","","","18.6","","18.18","18.24","18.19","18.22","18.15","","","17.87","","","17.83","","","18.49","","","",
"Union européenne","EUU","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Fragile et les situations de conflit touchées","FCS","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
